countYear,month,date,year,NumHrs,Ncount,density
42,12,27,1941, ,10,0.0000
61,1,2,1961, 29.00,52,1.7931
63,12,23,1962, 33.00,23,0.6970
64,12,22,1963, 21.00,6,0.2857
66,12,26,1965, 16.00,40,2.5000
67,12,26,1966, 21.00,15,0.7143
68,12,24,1967, 14.00,3,0.2143
69,12,28,1968, 24.00,110,4.5833
70,12,28,1969, 28.00,110,3.9286
71,12,27,1970, 25.00,190,7.6000
72,12,26,1971, 36.00,150,4.1667
73,12,23,1972, 33.00,145,4.3939
74,12,16,1973, 66.00,327,4.9545
75,12,14,1974, 61.00,295,4.8361
76,12,20,1975, 85.00,657,7.7294
77,12,18,1976, 117.00,622,5.3162
78,12,17,1977, 110.00,408,3.7091
79,12,16,1978, 71.00,365,5.1408
80,12,15,1979, 94.00,518,5.5106
81,12,20,1980, 103.00,384,3.7282
82,12,19,1981, 142.00,572,4.0282
83,12,18,1982, 135.00,628,4.6519
84,12,17,1983, 126.00,538,4.2698
85,12,15,1984, 136.00,1226,9.0147
86,12,21,1985, 132.00,783,5.9318
87,12,20,1986, 146.00,715,4.8973
88,12,19,1987, 101.50,484,4.7685
89,12,17,1988, 134.00,597,4.4552
90,12,16,1989, 128.00,961,7.5078
91,12,15,1990, 142.00,1261,8.8803
92,12,14,1991, 152.00,927,6.0987
93,12,19,1992, 175.00,1983,11.3314
94,12,19,1993, 147.00,856,5.8231
95,12,17,1994, 149.00,871,5.8456
96,12,16,1995, 172.00,1622,9.4302
97,12,21,1996, 167.00,1539,9.2156
98,12,20,1997, 188.00,1568,8.3404
99,12,19,1998, 194.00,1788,9.2165
100,12,18,1999, 195.00,1551,7.9538
101,12,16,2000, 196.00,1625,8.2908
102,12,15,2001, 171.00,1664,9.7310
103,12,14,2002, 181.00,1128,6.2320
104,12,14,2003, 150.00,1384,9.2267
105,12,18,2004, 208.75,1997,9.5665
106,12,17,2005, 186.00,1851,9.9516
107,12,16,2006, 218.25,1740,7.9725
108,12,15,2007, 223.75,1720,7.6872
109,12,20,2008, 196.00,1810,9.2347
110,12,19,2009, 202.00,708,3.5050
111,12,18,2010, 201.50,1684,8.3573
112,12,17,2011, 229.45,2080,9.0652
113,12,15,2012, 197.70,1367,6.9145
114,12,14,2013, 169.80,1105,6.5077
115,12,14,2014, 214.00,1985,9.2757
116,12,19,2015, 214.22,1888,8.8134
117,12,17,2016, 210.50,2305,10.9501
118,12,16,2017, 253.00,1908,7.5415
