CountYear, SponsoringOrganization
118,Anchorage Audubon Society
117,Anchorage Audubon Society
116,Anchorage Audubon Society
115,Anchorage Audubon Society
114,Anchorage Audubon Society
113,Anchorage Audubon Society
112,Anchorage Audubon society
111,
110,
109,
108,Anchorage Audubon Society
107,
106,
105,
104,
103,
102,
101,
100,
99,Anchorage Audubon
98,
97,
96,
95,
94,Anchorage Audubon Society
93,Anchorage Audubon Society
92,Anchorage Audubon Society
91,Anchorage Audubon Society
90,
89,
88,
87,
86,
85,
84,
83,
82,
81,
80,
79,
78,
77,
76,
75,
74,
73,
72,
71,
70,
69,
68,
67,
66,
64,
63,
61,
42,

