CountYear3,LowTemp,HighTemp,AMCloud,PMClouds,AMRain,PMRain,AMSnow,PMSnow
118,27.0 ,34.0 ,Cloudy,Cloudy,None,None,None,None
117,25.0 ,36.0 ,Cloudy,Cloudy,Light,None,Light,None
116,22.0 ,28.0 ,Partly Cloudy,Partly Cloudy,None,None,None,None
115,23.0 ,34.0 ,Cloudy,Cloudy,Light,None,Light,None
114,14.0 ,25.0 ,Cloudy,Cloudy,None,None,Light,Heavy
113,-2.0 ,12.0 ,Clear,Clear,None,None,None,None
112,19.0 ,43.0 ,Partly Cloudy,Partly Cloudy,None,None,None,None
111,-10.0 ,5.0 ,Clear,Clear,None,None,None,None
110,-5.0 ,5.0 ,Cloudy,Cloudy,None,None,None,None
109,14.0 ,20.0 ,Partly Cloudy,Partly Cloudy,None,None,None,None
108,10.0 ,19.0 ,Partly Cloudy,Partly Cloudy,None,None,None,None
107,3.0 ,19.0 ,Cloudy,Cloudy,None,None,None,None
106,34.0 ,41.0 ,Partly Cloudy,Partly Cloudy,None,None,None,None
105,32.0 ,36.0 ,Cloudy,Cloudy,None,Light,None,Light
104,18.0 ,30.0 ,Cloudy,Cloudy,None,None,None,None
103,21.0 ,29.0 ,Cloudy,Cloudy,None,None,None,None
102,-15.0 ,-1.0 ,Foggy,Foggy,None,None,None,None
101,15.0 ,27.0 ,Clear,Clear,None,None,None,None
100,3.0 ,13.0 ,Cloudy,Cloudy,None,None,None,None
99,19.0 ,24.0 ,Cloudy,Cloudy,None,None,None,None
98,12.0 ,20.0 ,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
97,11.0 ,27.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
96,21.0 ,28.0 ,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
95,11.0 ,18.0 ,Unknown,Unknown,None,None,Heavy,Light
94,28.0 ,37.0 ,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
93,0.0 ,14.0 ,Cloudy,Cloudy,None,None,Light,Light
92,24.0 ,32.0 ,Unknown,Unknown,None,None,Heavy,None
91,-2.0 ,7.0 ,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
90,29.0 ,34.0 ,Foggy,Foggy,Unknown,Unknown,Unknown,Unknown
89,25.0 ,34.0 ,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
88,20.0 ,38.0 ,Cloudy,Cloudy,None,Light,None,None
87,30.0 ,33.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
86,35.0 ,42.0 ,Cloudy,Cloudy,Light,Light,None,None
85,9.0 ,14.0 ,Foggy,Foggy,None,None,Light,None
84,10.0 ,23.0 ,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
83,8.0 ,23.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
82,20.0 ,28.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
81,-18.0 ,5.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
80,-10.0 ,5.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
72,28.0 ,30.0 ,Foggy,Foggy,None,None,None,None
71,-13.0 ,-2.0 ,Clear,Clear,None,None,None,None
70,26.0 ,42.0 ,Cloudy,Cloudy,Light,Light,None,None
69,-8.0 ,10.0 ,Foggy,Foggy,None,None,Light,Light
68,-3.0 ,8.0 ,Cloudy,Cloudy,None,None,Light,Light
67,5.0 ,23.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
66,8.0 ,14.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
64,15.0 ,24.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
63,22.0 ,34.0 ,Unknown,Unknown,None,Light,Light,None

