countYear,year,anomoly_inches
2,1901,-2.31
3,1902,0.69
4,1903,-0.58
5,1904,-1.99
6,1905,2.66
7,1906,2.9
8,1907,1
9,1908,-0.14
10,1909,1.25
11,1910,-5.03
12,1911,-0.42
13,1912,0.54
14,1913,-0.1
15,1914,-1.13
16,1915,2.83
17,1916,-0.52
18,1917,-4.59
19,1918,-1.16
20,1919,1.82
21,1920,1.36
22,1921,-1.16
23,1922,-0.05
24,1923,1.74
25,1924,-3.42
26,1925,-2.98
27,1926,1
28,1927,2.12
29,1928,-0.44
30,1929,0.21
31,1930,-4.36
32,1931,-2.42
33,1932,0.5
34,1933,-2.44
35,1934,-4.15
36,1935,-0.46
37,1936,-2.66
38,1937,0.57
39,1938,-0.2
40,1939,-3.61
41,1940,0.47
42,1941,2.87
43,1942,1.39
44,1943,-3.13
45,1944,0.68
46,1945,3.09
47,1946,1.15
48,1947,-0.59
49,1948,0.75
50,1949,0.36
51,1950,0.93
52,1951,1.31
53,1952,-3.6
54,1953,-1.63
55,1954,-3.79
56,1955,-2.2
57,1956,-4.56
58,1957,3.93
59,1958,0.29
60,1959,0.66
61,1960,-1.19
62,1961,1.31
63,1962,-1.34
64,1963,-4.24
65,1964,0.32
66,1965,-0.14
67,1966,-2.48
68,1967,-0.34
69,1968,0.45
70,1969,0.69
71,1970,-0.24
72,1971,0.39
73,1972,1.76
74,1973,5.02
75,1974,0.68
76,1975,3.09
77,1976,-3.63
78,1977,0.5
79,1978,0.2
80,1979,2.81
81,1980,-1.67
82,1981,0.02
83,1982,3.92
84,1983,4.82
85,1984,1.46
86,1985,0.03
87,1986,1.44
88,1987,-0.93
89,1988,-4.04
90,1989,-0.89
91,1990,2.23
92,1991,2.5
93,1992,1.32
94,1993,2.68
95,1994,0.68
96,1995,2.75
97,1996,3.76
98,1997,1.92
99,1998,3.95
100,1999,-1.47
101,2000,-1.72
102,2001,-0.92
103,2002,-0.89
104,2003,0.57
105,2004,3.31
106,2005,0.14
107,2006,-0.12
108,2007,-0.76
109,2008,1.3
110,2009,2.36
111,2010,1.43
112,2011,0.16
113,2012,-2.41
114,2013,1.12
115,2014,0.91
116,2015,4.63
