,Project,ModelName,DatabaseName,EntityName,TableName,AttributeName,ColumnName,PhysicalDataType,PhysicalOnlyFlag,LogicalOnlyFlag,AttrDefinition,Type,Kind,Note,Unnamed: 14,matched by keyword
494,Airforce,,ABIDES,,ccn_all,,rec_stat,1,,,complete list of all (current and historic) ccns,,,h for historic,,'list'
883,Airforce,,ABIDES,,ccn_all,,af_eff_appr,1,,,complete list of all (current and historic) ccns,,,defined in af_eff_appr,,'list'
893,Airforce,,ABIDES,,ccn_all,,af_eff_cat,3,,,complete list of all (current and historic) ccns,,,defined in af_eff_cat,,'list'
950,Airforce,,ABIDES,,ccn_all,,af_tooth_tail,1,,,complete list of all (current and historic) ccns,,,defined in af_tooth_tail,,'list'
1269,A4,,LOGCAT_AP,AIRCRAFT BAY,ACFT_BAYS,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1270,A4,,LOGCAT_AP,AIRCRAFT HANGER,ACFT_HANGR,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1271,A4,,LOGCAT_AP,AIRCRAFT OBSTRUCTION,ACFT_OBSTRCTN,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1272,A4,,LOGCAT_AP,AIRCRAFT REVETEMENT,ACFT_RVTMT,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1273,A4,,LOGCAT_AP,AIRCRAFT SHELTER,ACFT_SHELTER,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1274,A4,,LOGCAT_AP,AIRCRAFT SUPPORTED,ACFT_SUPPRTD,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1295,A4,,LOGCAT_AP,BLOCK FUEL STORAGE AREA,BLK_FL_STR_AR,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'fuel'
1339,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL FACILITY,EOD_FAC,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1340,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL LOCAL SUPPORT DESCRIPTION,EOD_LCSP_DESC,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1341,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL MISSION DESCRIPTION,EOD_MSN_DESC,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1342,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL OFF BASE RESPONSIBILITY POLICY,EOD_OBS_RSPPL,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1343,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL PROCEDURE FOR BASE RECOVERY AFTER ATTACK,EOD_PRC_BRAAT,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1344,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL PROCEDURE FOR CHEMICAL ORDNANCE,EOD_PRC_CMORD,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1345,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL PROCEDURE FOR CONVENTIONAL ORDNANCE,EOD_PRC_CNORD,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1346,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL PROCEDURE FOR IMPROVISED DEVICE,EOD_PRC_IMPDV,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1347,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL PROCESSING NUCLEAR ORDNANCE,EOD_PR_NUCORD,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1348,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL SECURE STORAGE REQUIREMENT,EOD_SEC_STREQ,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1349,A4,,LOGCAT_AP,EXPLOSIVE ORDNANCE DISPOSAL SUPPORT CONCEPT,EOD_SPT_CNCPT,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'explosive'
1544,A4,,LOGCAT_AP,WEAPON STORAGE FACILITY,WEAP_STOR_FAC,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'weapon'
2357,Airforce,,ABIDES,,ccn_all,,ccn,8,,,complete list of all (current and historic) ccns,,,,,'list'
2476,Airforce,,ABIDES,,ccn_all,,rmd,7,,,complete list of all (current and historic) ccns,,,defined in rmd,,'list'
2484,Airforce,,ABIDES,,ccn_all,,issue_number,25,,,complete list of all (current and historic) ccns,,,,,'list'
2490,Airforce,,ABIDES,,ccn_all,,act_doc_date,6,,,complete list of all (current and historic) ccns,,,format yymmdd,,'list'
2496,Airforce,,ABIDES,,ccn_all,,cost_id,1,,,complete list of all (current and historic) ccns,,,,,'list'
2503,Airforce,,ABIDES,,ccn_all,,af_eff_obj,3,,,complete list of all (current and historic) ccns,,,defined in af_eff_obj,,'list'
2509,Airforce,,ABIDES,,ccn_all,,osd_eff_subcat,2,,,complete list of all (current and historic) ccns,,,defined in osd_eff_subcat,,'list'
2517,Airforce,,ABIDES,,ccn_all,,ccn_title,45,,,complete list of all (current and historic) ccns,,,,,'list'
3945,A4,,LOGCAT_AP,FUEL TYPE CODE,FUEL_TYP_CD,ID,ID,CHAR(5),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'fuel'
3992,A4,,LIMS_AP,AIRCRAFT METRIC DAYS SUMMARY,ACFT_MTRC_DA_SMRY,,ORG_ID,CHAR(9),True,False,,,,,GCSS-DS OS Prod_LIMS_AP.erwin,'aircraft'
3993,A4,,LIMS_AP,AIRCRAFT METRIC STOCK-NUMBER DAYS SUMMARY,ACFT_MTRC_SN_DA_SMRY,ORGANIZATION IDENTIFIER,ORG_ID,CHAR(9),False,False,,,,,GCSS-DS OS Prod_LIMS_AP.erwin,'aircraft'
3994,A4,,LIMS_AP,AIRCRAFT METRIC STOCK-NUMBER SUMMARY,ACFT_MTRC_SN_SMRY,ORGANIZATION IDENTIFIER,ORG_ID,CHAR(9),False,False,,,,,GCSS-DS OS Prod_LIMS_AP.erwin,'aircraft'
3995,A4,,LIMS_AP,AIRCRAFT METRIC STOCK-NUMBER WORK-UNIT-CODE DAYS SUMMARY,ACFT_MTRC_SN_WUC_DA_SMRY,ORGANIZATION IDENTIFIER,ORG_ID,CHAR(9),False,False,,,,,GCSS-DS OS Prod_LIMS_AP.erwin,'aircraft'
3996,A4,,LIMS_AP,AIRCRAFT METRIC STOCK-NUMBER WORK-UNIT-CODE SUMMARY,ACFT_MTRC_SN_WUC_SMRY,ORGANIZATION IDENTIFIER,ORG_ID,CHAR(9),False,False,,,,,GCSS-DS OS Prod_LIMS_AP.erwin,'aircraft'
3997,A4,,LIMS_AP,AIRCRAFT METRIC SUMMARY,ACFT_MTRC_SMRY,,ORG_ID,CHAR(9),True,False,,,,,GCSS-DS OS Prod_LIMS_AP.erwin,'aircraft'
3998,A4,,LIMS_AP,AIRCRAFT METRIC WORK-UNIT-CODE SUMMARY,ACFT_MTRC_WUC_DA_SMRY,,ORG_ID,CHAR(9),True,False,,,,,GCSS-DS OS Prod_LIMS_AP.erwin,'aircraft'
3999,A4,,LIMS_AP,AIRCRAFT METRIC WORK-UNIT-CODE SUMMARY,ACFT_MTRC_WUC_SMRY,,ORG_ID,CHAR(9),True,False,,,,,GCSS-DS OS Prod_LIMS_AP.erwin,'aircraft'
