,Project,ModelName,DatabaseName,EntityName,TableName,AttributeName,ColumnName,PhysicalDataType,PhysicalOnlyFlag,LogicalOnlyFlag,AttrDefinition,Type,Kind,Note,Unnamed: 14,matched by keyword
1269,A4,,LOGCAT_AP,AIRCRAFT BAY,ACFT_BAYS,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1270,A4,,LOGCAT_AP,AIRCRAFT HANGER,ACFT_HANGR,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1271,A4,,LOGCAT_AP,AIRCRAFT OBSTRUCTION,ACFT_OBSTRCTN,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1272,A4,,LOGCAT_AP,AIRCRAFT REVETEMENT,ACFT_RVTMT,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1273,A4,,LOGCAT_AP,AIRCRAFT SHELTER,ACFT_SHELTER,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1274,A4,,LOGCAT_AP,AIRCRAFT SUPPORTED,ACFT_SUPPRTD,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'aircraft'
1295,A4,,LOGCAT_AP,BLOCK FUEL STORAGE AREA,BLK_FL_STR_AR,SITE IDENTIFIER,SITE_ID,CHAR(10),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'fuel'
3945,A4,,LOGCAT_AP,FUEL TYPE CODE,FUEL_TYP_CD,ID,ID,CHAR(5),False,False,,,,,GCSS-DS OS Prod_LOGCAT_AP.erwin,'fuel'
3987,A4,,AFEMS_AP,INFORMATION-TECHNOLOGY-ASSET-MANAGEMENT ORGANIZATION,ORG_ORG,ORGANIZATION IDENTIFIER,ORG_ID,CHAR(12),False,False,"REF: AFMAN 23-110, VOL 2, PT 2, CH 27, PG 27-85, 1 JUL 05. DEF: The code locally assigned by the Air Force Education and Training Command (AETC) to identify each resident school course outlined in the education and training course announcements and loaded into the AIR FORCE EQUIPMENT MANAGEMENT SYSTEM (AFEMS) (C001) .",,,,GCSS-DS OS Prod_AFEMS_AP.erwin,'training'
3989,A4,,ALIS_AP,SYLLABUS PERFORMANCE SUMMARY,SYLBS_PRFMC_SMRY,ORGANIZATION IDENTIFIER,ORG_ID,VARCHAR(30),False,False,squadron or training organization,,,,GCSS-DS OS Prod_ALIS_AP.erwin,'training'
